indicator,region,source,hazard_class,category,subcategory,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,years_with_data
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",IV. Не небезпечні відходи,За видами КВЕД,Добувна промисловість і розроблення кар'єрів,257824300.0,313698600.0,313698600.0,301409400.0,,391047900.0,,182041100.0,160944400.0,217769400.0,8
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-III. Небезпечні відходи,За видами КВЕД,Виробництво хімічних речовин і хімічної продукції,,,,,,158100.0,,61200.0,,1600.0,3
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-III. Небезпечні відходи,За видами КВЕД,Металургійне виробництво,,,,,,91900.0,,42900.0,,14300.0,3
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",I-IV. Відходи в цілому,За видами КВЕД,Виробництво основних фармацевтичних продуктів і фармацевтичних препаратів,10800.0,12000.0,12500.0,11500.0,,14700.0,,10800.0,11500.0,12000.0,8
Обсяг утворених відходів,Україна,Загалом,I-IV. Відходи в цілому,За категоріями відходів за матеріалом (МП),Змішані відходи чорних та кольорових металів,9600.0,10400.0,7400.0,34100.0,13700.0,10300.0,14100.0,6000.0,12900.0,304400.0,10
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",IV. Не небезпечні відходи,За видами КВЕД,Будівництво,375100.0,492100.0,492100.0,377100.0,,14300.0,,286000.0,617000.0,649200.0,8
Обсяг утворених відходів,Україна,"Підприємства, що здійснюють утворення та оброблення відходів за місцем фактичної діяльності",IV. Не небезпечні відходи,За видами КВЕД,Добування інших корисних копалин та розроблення кар'єрів,,,,,,9298400.0,,223300.0,,408800.0,3
Обсяг утворених відходів,Україна,Загалом,I-IV. Відходи в цілому,За категоріями відходів за матеріалом (МП),"Затверділі, стабілізовані або засклянілі відходи; мінеральні відходи, що утворюються після переробки",522200.00000000006,311200.0,48900.0,51400.0,25700.0,22700.0,24800.0,21300.0,18200.0,45700.0,10
Обсяг утворених відходів,Україна,Загалом,I-IV. Відходи в цілому,За категоріями відходів за матеріалом (МП),Відходи згоряння,13896000.0,13829900.0,14157000.0,13553500.0,12661500.0,10845700.0,11560700.0,4923100.0,3668300.0,4462600.0,10
Обсяг утворених відходів,Україна,Загалом,I-IV. Відходи в цілому,За категоріями відходів за матеріалом (МП),"Інші мінеральні відходи (за виключенням пунктів 12.1, 12.4, 12.6, 12.7, 12.8)",235700200.0,225883500.0,265602000.0,273157700.0,286785600.0,404649400.0,437015000.0,175378000.0,152475600.0,217766800.0,10
Обсяг утворених відходів,Україна,Загалом,I-IV. Відходи в цілому,За категоріями відходів за матеріалом (МП),"Мінеральні відходи будівництва та знесення об'єктів, у тому числі змішані будівельні відходи",897500.0,822500.0,974100.0,1023100.0,919400.0,873200.0,836100.0,319900.0,545600.0,593200.0,10
Обсяг утворених відходів,Україна,Загалом,I-IV. Відходи в цілому,За категоріями відходів за матеріалом (МП),Усього,312267600.0,295870100.0,366054000.0,352333900.0,441516500.0,462373500.0,493271100.0,204358500.0,183196800.0,238338600.0,10
Обсяг утворених відходів,Україна,Загалом,I-IV. Відходи в цілому,За категоріями відходів за матеріалом (МП),Побутові та подібні відходи,6789200.0,6946200.0,6183200.0,6211200.0,6618000.0,6672000.0,6483500.0,5441500.0,4954000.0,5485100.0,10
Обсяг утворених відходів,Україна,Загалом,I-IV. Відходи в цілому,За категоріями відходів за матеріалом (МП),Ґрунтові відходи,788200.0,501700.0,367200.0,451700.0,1360600.0,1332800.0,1053800.0,645900.0,632600.0,29900.0,10
Обсяг утворених відходів,Україна,Загалом,I-IV. Відходи в цілому,За категоріями відходів за матеріалом (МП),"Тваринні екскременти, сеча та гній",4938000.0,4288700.0,3653400.0,3233800.0,3612900.0,3314700.0,3268700.0,2849600.0,2991500.0,2567800.0,10
Обсяг утворених відходів,Україна,Загалом,I-IV. Відходи в цілому,За категоріями відходів за матеріалом (МП),Змішані та недиференційовані матеріали,7380900.0,9429100.0,9699000.0,9164100.0,9940300.0,6906300.0,6743400.0,1293600.0,1465100.0,2055900.0,10
Обсяг утворених відходів,Україна,Загалом,I-IV. Відходи в цілому,За категоріями відходів за матеріалом (МП),Пуста порода від днопоглиблювальних робіт,23125100.0,12500100.0,45028000.0,26126000.0,101361900.0,11947500.0,11965500.0,6366300.0,8198799.999999999,,9
Обсяг утворених відходів,Україна,Загалом,I-IV. Відходи в цілому,За категоріями відходів за матеріалом (МП),Відходи рослинного походження,7742300.0,8606000.0,8782300.0,7829300.0,8068600.0,6101800.0,4433900.0,3129000.0,4643100.0,2219100.0,10
Обсяг утворених відходів,Україна,Загалом,I-IV. Відходи в цілому,За категоріями відходів за матеріалом (МП),Звичайний осад,397600.0,693600.0,515100.0,643500.0,563300.0,334100.0,443700.0,261700.0,366600.0,953700.0,10
Обсяг утворених відходів,Україна,Загалом,I-IV. Відходи в цілому,За категоріями відходів за матеріалом (МП),Залишки сортування,35600.0,81900.0,63200.0,63600.0,69200.0,35100.0,31400.0,13600.0,13000.0,4000.0,10
Обсяг утворених відходів,Україна,Загалом,I-III. Небезпечні відходи,За категоріями відходів за матеріалом (МП),Шлами та рідкі відходи очисних споруд,5900.0,3100.0,3600.0,3600.0,2900.0,9900.0,2800.0,7100.0,3300.0,100.0,10
Обсяг утворених відходів,Україна,Загалом,I-III. Небезпечні відходи,За категоріями відходів за матеріалом (МП),Хімічні відходи,14700.0,14800.0,17400.0,15300.0,16400.0,17500.0,16300.0,8100.0,7900.0,22300.0,10
Обсяг утворених відходів,Україна,Загалом,I-III. Небезпечні відходи,За категоріями відходів за матеріалом (МП),Відходи рослинного походження,200.0,500.0,500.0,900.0,1100.0,100.0,2600.0,100.0,300.0,,9
Обсяг утворених відходів,Україна,Загалом,I-III. Небезпечні відходи,За категоріями відходів за матеріалом (МП),Побутові та подібні відходи,3000.0,16900.0,200.0,200.0,100.0,1500.0,1400.0,2000.0,700.0,,9
Обсяг утворених відходів,Україна,Загалом,I-III. Небезпечні відходи,За категоріями відходів за матеріалом (МП),Відходи чорних металів,149800.0,129900.0,139900.0,135700.0,117100.0,72200.0,109200.0,69400.0,57500.0,,9
Обсяг утворених відходів,Україна,Загалом,I-III. Небезпечні відходи,За категоріями відходів за матеріалом (МП),Гумові відходи,2000.0,3500.0,3700.0,2700.0,1800.0,2100.0,3500.0,900.0,1000.0,,9
Обсяг утворених відходів,Україна,Загалом,I-III. Небезпечні відходи,За категоріями відходів за матеріалом (МП),"Відходи, що містять поліхлордифеніли",500.0,100.0,200.0,200.0,300.0,200.0,200.0,,100.0,0.0,9
Обсяг утворених відходів,Україна,Загалом,I-III. Небезпечні відходи,За категоріями відходів за матеріалом (МП),Відходи акумуляторів та батарей,6100.0,4000.0,4100.0,3800.0,4500.0,4200.0,4700.0,2100.0,4100.0,2900.0,10
Обсяг утворених відходів,Україна,Загалом,I-III. Небезпечні відходи,За категоріями відходів за матеріалом (МП),Відходи від медичної допомоги та біологічні,200.0,200.0,200.0,200.0,200.0,300.0,600.0,500.0,700.0,7900.0,10
Обсяг утворених відходів,Україна,Загалом,I-III. Небезпечні відходи,За категоріями відходів за матеріалом (МП),Відходи тваринного походження та змішані харчові відходи,18200.0,13600.0,16100.000000000002,18400.0,13400.0,14300.0,500.0,200.0,200.0,,9
Обсяг утворених відходів,Україна,Загалом,I-III. Небезпечні відходи,За категоріями відходів за матеріалом (МП),Відпрацьовані оливи,14200.0,13100.0,17000.0,14600.0,14200.0,19000.0,17300.0,13100.0,12000.0,17400.0,10
Обсяг утворених відходів,Україна,Загалом,I-III. Небезпечні відходи,За категоріями відходів за матеріалом (МП),Відходи кольорових металів,11300.0,6500.0,7500.0,6400.0,4600.0,3400.0,3000.0,4800.0,2100.0,,9
Обсяг утворених відходів,Україна,Загалом,I-III. Небезпечні відходи,За категоріями відходів за матеріалом (МП),Змішані та недиференційовані матеріали,39100.0,55800.0,72700.0,72100.0,73500.0,61200.0,68100.0,4400.0,8900.0,200.0,10
Обсяг утворених відходів,Україна,Загалом,I-III. Небезпечні відходи,За категоріями відходів за матеріалом (МП),Пластикові відходи,4400.0,3700.0,3300.0,2400.0,4000.0,2400.0,2900.0,2600.0,2700.0,,9
Обсяг утворених відходів,Україна,Загалом,I-III. Небезпечні відходи,За категоріями відходів за матеріалом (МП),Непридатне обладнання,1200.0,1500.0,2800.0,1600.0,1800.0,1400.0,1300.0,700.0,900.0,1000.0,10
Обсяг утворених відходів,Україна,Загалом,I-III. Небезпечні відходи,За категоріями відходів за матеріалом (МП),Змішані відходи чорних та кольорових металів,1800.0,2800.0,900.0,600.0,700.0,500.0,500.0,,200.0,,8
Обсяг утворених відходів,Україна,Загалом,I-III. Небезпечні відходи,За категоріями відходів за матеріалом (МП),"Відходи кислот, лугів чи солей",112800.0,136000.0,147700.0,154800.0,155700.0,161000.0,158200.0,61000.0,22400.0,4700.0,10
Обсяг утворених відходів,Україна,Загалом,I-III. Небезпечні відходи,За категоріями відходів за матеріалом (МП),Залишки сортування,100.0,4300.0,1500.0,100.0,100.0,0.0,0.0,,0.0,0.0,9
